,contribution,class_label,label_code,glove_classification,glove_label,ann_classification,ann_label,kmeans_cluster,x_axis,y_axis,partition
299,performed concept extraction on,Sonstiges,10,10,Sonstiges,10,Sonstiges,7,-0.5186832094277645,-0.3683348977474588,training
300,designed statistic,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5431132611730978,-0.38911236112168185,training
301,performed profile likelyhood analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5247157489338108,-0.38981492765870135,training
302,commented on manuscript,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,7,-0.5022725186865612,-0.4320248582534535,training
303,helped with data analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,0.5510692912755847,0.5511200436069793,training
304,Created a scrapbook of your favorite memories,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.1807075908901985,1.3594956224576467,training
305,provided methods,Resources,8,8,Resources,8,Resources,7,-0.5110300897643271,-0.38951399559676525,training
306,"Synapse area annotation, analysis",Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5266239217441534,-0.38198327058095477,training
307,"developed, implemented, and evaluated the SIPEC modules and framework",Software,9,9,Software,9,Software,6,2.759494275677354,-0.09601754122240959,training
308,developed R package for data fitting,Software,9,9,Software,9,Software,2,0.2431271297865569,0.9199334183334749,training
309,were responsible for conceptualization,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,5,-0.7680730495107253,-0.07177936759416292,training
310,contributed by revising the manuscript and overall editing,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,6,2.800161188348474,-0.08122814803932946,training
311,Created a photo collage,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.122650513639029,1.3044142363681643,training
312,interpreted data,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,0.49857307795421957,0.6390103641170314,training
313,was responsible for the design of the database searches,Software,9,9,Software,9,Software,5,0.4508894698256406,-1.5541470829865398,training
314,provided samples,Resources,8,8,Resources,8,Resources,7,-0.5264852277863916,-0.37702653217524257,validation
315,contributed to study conception,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,12,-0.40808136832883035,-0.33924040593313914,validation
316,provided emissions,Resources,8,8,Resources,8,Resources,7,-0.529888549611458,-0.38473252077443076,validation
317,contributed to experimental strategy,Project administration,7,7,Project administration,7,Project administration,13,-0.4372882657282895,-0.38220280593516703,validation
318,conceptualised study,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.5451845965130668,-0.40492524549321574,validation
319,curated data,Data curation,1,1,Data curation,1,Data curation,2,0.4995665142895005,0.6396738683599914,validation
320,helped to interpret the pathology,Investigation,4,4,Investigation,4,Investigation,1,0.7325111930248777,-1.9303209815425755,validation
321,"reviewed, critically appraised and approved the final manuscript",Writing - review & editing,16,11,Supervision,11,Supervision,6,2.817610289704609,-0.1234935646896253,validation
322,solved all crystal structures and performed all FP measurements and kinetic assays,Investigation,4,2,Formal analysis,2,Formal analysis,10,1.495480672446186,1.3885684366386928,validation
323,implemented task,Sonstiges,10,10,Sonstiges,9,Software,7,-0.5360438362564929,-0.43764754800164163,validation
324,implemented model simulations and the Shiny application for visualizations,Software,9,5,Methodology,5,Methodology,9,2.5618959750583796,0.07432744916879036,validation
325,was involved in model discussions,Methodology,5,5,Methodology,5,Methodology,7,-0.45930257634046956,-0.5211307014358235,validation
326,contributed to software development,Software,9,9,Software,9,Software,11,-0.47558967371382427,-0.37242414572937604,validation
327,contributed to data analysis and interpretation,Investigation,4,4,Investigation,1,Data curation,16,2.590645728311904,2.451665464329409,validation
328,performed sFRAPs,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5440326207246923,-0.40293742676913186,validation
329,developed software,Software,9,9,Software,9,Software,11,-0.5293637887039582,-0.40895942005273334,validation
330,Wrote a song or composed music,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.250582359991892,1.42539767265071,validation
331,conceived research,Investigation,4,4,Investigation,4,Investigation,7,-0.5982197267224783,-0.48029436326848807,validation
332,performed bioinformatic analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5195477745169241,-0.38403211981886837,validation
333,"extracted, cleaned, and provided clinical laboratory data",Data curation,1,8,Resources,2,Formal analysis,16,2.5605776377816993,2.409462128511743,validation
334,co-supervised the statistical analyses,Supervision,11,2,Formal analysis,2,Formal analysis,1,0.7118306941192103,-1.8833884900575355,validation
335,directed study,Project administration,7,7,Project administration,0,Conceptualization / Conceptualisation,7,-0.537313941059123,-0.39619224584259793,validation
336,selected the experimental stimuli,Resources,8,7,Project administration,7,Project administration,13,0.7475147678697528,-1.8541239457341179,validation
337,performed data analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,0.5241512982787968,0.6487246978426139,validation
338,helped with specific experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.4355502225006727,-0.5034055204788214,validation
339,wrote first draft,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,7,-0.6651915479009177,-0.26729866067255964,validation
340,programmed and debugged the algorithm,Software,9,0,Conceptualization / Conceptualisation,13,Validation,6,2.7346785527483295,-0.07774680401539287,validation
341,assisted sample collection,Resources,8,8,Resources,8,Resources,15,-0.565667009186602,-0.4234461560594737,validation
342,contributed to analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,12,-0.4619772220497868,-0.3394690115730015,validation
343,reviewed  paper,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,0,-0.5126638500659437,-0.4716589097964936,validation
344,designed overall research scheme,Investigation,4,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.5974511723813919,-0.4759315399092663,validation
345,Wrote a handwritten letter to a loved one,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.218806140471575,1.4071615388372862,validation
346,Planned a picnic in the park,Other - not related,6,0,Conceptualization / Conceptualisation,6,Other - not related,3,-0.8289789058472283,-0.1756825632198132,validation
347,contributed to data analysis and interpretation,Formal analysis,2,4,Investigation,1,Data curation,16,2.590645728311904,2.451665464329409,validation
348,developed Covasim,Sonstiges,10,2,Formal analysis,2,Formal analysis,7,-0.5394022903120591,-0.394032765077825,validation
349,designed this research,Investigation,4,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.6042853074240367,-0.4804906565452708,validation
350,Started a blog about your favorite hobby,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.3034225186357866,1.4641214130189253,validation
351,reviewed and edited the final version of the paper,Writing - review & editing,16,16,Writing - review & editing,15,Writing - original draft,6,2.758496641960649,-0.17046076685320044,validation
352,converted to BIDS,Data curation,1,4,Investigation,10,Sonstiges,7,-0.5381894649641356,-0.38909640935266115,validation
353,contributed novel data,Data curation,1,1,Data curation,1,Data curation,2,0.5536935882742894,0.6743503325192344,validation
354,carried out qPCR analyses,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5457880779696375,-0.5154472985213944,validation
355,helped with evaluation of the study,Validation,13,10,Sonstiges,2,Formal analysis,1,0.7351252796693178,-1.9298653742369143,validation
356,for knowledge graph embedding implementation,Visualization / Visualisation,14,9,Software,9,Software,5,-0.8240360157287016,-0.14597000998135,validation
357,contributed to annotation,Data curation,1,4,Investigation,2,Formal analysis,12,-0.48823207798067836,-0.36031054088528114,validation
358,conceptualized project,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.5435346761435432,-0.41542869075183503,validation
359,assisted with sample classification,Resources,8,8,Resources,8,Resources,15,-0.5831878807501044,-0.441342149557436,validation
360,performed experimental work,Investigation,4,2,Formal analysis,2,Formal analysis,13,-0.4930823161131998,-0.4271815318074347,validation
361,contributed to discussion,Investigation,4,4,Investigation,4,Investigation,12,-0.4857518845551276,-0.3575042017546893,validation
362,have written sections of the paper,Writing - original draft,15,7,Project administration,5,Methodology,0,0.7104001592071923,-1.901988359589546,validation
363,conducted analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5205600356379505,-0.38663590334063275,validation
364,contributed to interpretion of data,Investigation,4,4,Investigation,1,Data curation,2,0.5593425665756104,0.6779590488777644,validation
365,coded the initial implementation of SCNIC,Sonstiges,10,15,Writing - original draft,9,Software,1,0.7057461963115144,-1.8538923496053044,validation
366,Designed a greeting card for a special occasion,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.3538505213056937,1.536939045390796,validation
367,performed the replication GWAS,Formal analysis,2,2,Formal analysis,2,Formal analysis,1,0.7118375256518507,-1.8725871052499798,validation
368,contributed to acquisition of data,Data curation,1,1,Data curation,1,Data curation,2,0.6273584701537446,0.7852701157108087,validation
369,implemented model simulations,Methodology,5,5,Methodology,9,Software,7,-0.46019813539293325,-0.5123191622589756,validation
370,collected samples for research,Resources,8,8,Resources,8,Resources,5,-0.8573279517352271,-0.19754684628785657,validation
371,Learned to juggle,Other - not related,6,6,Other - not related,6,Other - not related,7,-0.5385043573243714,-0.3894385247012291,validation
372,for language of manuscript,Sonstiges,10,15,Writing - original draft,16,Writing - review & editing,5,-0.7714027298261077,-0.16129762901361366,validation
373,conducted DNA extraction,Formal analysis,2,2,Formal analysis,10,Sonstiges,7,-0.5349855059620435,-0.3902151640358746,validation
374,has proposed the idea of looking at correlations between UVI and COVID-19 infections,Conceptualization / Conceptualisation,0,11,Supervision,2,Formal analysis,6,2.8399634994496092,-0.10807801158676299,validation
375,assisted research,Investigation,4,4,Investigation,4,Investigation,7,-0.6032776082110868,-0.48865560703687894,validation
376,carried out experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.47109518387485,-0.49942351632499304,validation
377,oversaw project administration,Project administration,7,11,Supervision,11,Supervision,7,-0.5377024570784612,-0.40649124221028576,validation
378,supervised the project,Supervision,11,11,Supervision,11,Supervision,1,0.6984247467327835,-1.8434375698818084,validation
379,provided feedback and resources to perform calibration and analysis,Resources,8,8,Resources,16,Writing - review & editing,10,1.5167854730621124,1.388569893665592,validation
380,Organized a clothing drive for the needy,Other - not related,6,6,Other - not related,6,Other - not related,14,-1.132768532909366,0.11246594155233997,validation
381,Hosted a game night with friends,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.159130445622982,1.3535109067378395,validation
382,Collected and preprocessed data,Resources,8,1,Data curation,1,Data curation,16,2.530160713497007,2.430619818468707,validation
383,"provided critical scientific input, data analysis, and logistical support",Resources,8,8,Resources,8,Resources,16,2.626500967647946,2.4724552684249126,validation
384,provided critical feedback to the manuscript,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,1,0.7856833802650599,-1.8428098273341602,validation
385,for the genomic analyses,Sonstiges,10,10,Sonstiges,10,Sonstiges,5,0.49209189693357475,-1.5448869744528706,validation
386,conceptualize and designed work,Conceptualization / Conceptualisation,0,2,Formal analysis,2,Formal analysis,10,1.459273638342208,1.3558271701968143,validation
387,contributed equally to this work,Sonstiges,10,2,Formal analysis,2,Formal analysis,12,-0.49189616407972053,-0.36443722344329393,validation
388,contributed to provision of computational resources,Resources,8,4,Investigation,2,Formal analysis,12,-0.48453844443588884,-0.3570181804769799,validation
389,modeled and analyzed data,Data curation,1,2,Formal analysis,2,Formal analysis,16,2.5333822099903176,2.432729507328099,validation
390,conducted experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.462762089273722,-0.4068579162507585,validation
391,designed research question,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.5965931869070402,-0.4781367872663971,validation
392,provided samples and pretreatment,Resources,8,8,Resources,8,Resources,10,1.485502838762759,1.3845351240992894,validation
393,drafted article,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,7,-0.5465860811607078,-0.39618959309009316,validation
394,provided critical reagents and experimental support,Resources,8,8,Resources,8,Resources,13,1.5495269466083703,1.3568182839690368,validation
395,contributed to manuscript revision,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,12,-0.4445972124298262,-0.3906532461660773,validation
396,helped the analysis of the data,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,1.7929814827418316,-0.8759017354479269,validation
397,were responsible for conceptualization,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,5,-0.7680730495107253,-0.07177936759416292,validation
398,wrote first draft of the manuscript,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,1,0.6150662801748501,-1.7313143870793892,validation
399,carried out benchmarking analysis,Formal analysis,2,1,Data curation,2,Formal analysis,7,-0.5288948246825793,-0.47920381474338586,validation
400,contributed to topic,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,12,-0.48632041206957505,-0.3578208069516275,validation
401,Planted a vegetable garden in your backyard,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.0877129499356513,1.275783027277786,validation
402,Painted a landscape picture,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.090226239874378,1.2613872637313734,validation
403,provided obstetric and nursing notes on,Sonstiges,10,16,Writing - review & editing,16,Writing - review & editing,10,1.482023322892281,1.368987487617493,validation
404,Started a walking or hiking club,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.2109152668747574,1.3746450641797507,test
405,characterized plants,Sonstiges,10,8,Resources,8,Resources,7,-0.5457936465098654,-0.39503455947903937,test
406,implemented algorithms,Software,9,9,Software,9,Software,7,-0.5186594266387097,-0.41578103211005446,test
407,Painted a self-portrait,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.076204354963995,1.2486256683521673,test
408,"revised the text content, discussions",Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,1,0.7215515647265056,-1.8899830941885647,test
409,provide med associates code,Resources,8,5,Methodology,2,Formal analysis,7,-0.54714078459077,-0.396857034395352,test
410,Volunteered at a local hospital,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.205201919335781,1.3573738383569303,test
411,provided resources,Resources,8,8,Resources,8,Resources,7,-0.5269088736740497,-0.38106951828336016,test
412,acquired computing resources,Resources,8,8,Resources,2,Formal analysis,7,-0.5455200275245833,-0.39432481973194117,test
413,wrote paper,Writing - original draft,15,15,Writing - original draft,9,Software,0,-0.6690345653127052,-0.32354515461894706,test
414,led the effort on knowledge graph construction,Visualization / Visualisation,14,14,Visualization / Visualisation,5,Methodology,1,0.7303215855445996,-1.898016220638408,test
415,constructed plasmids,Formal analysis,2,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.5046648107250773,-0.4257252357196585,test
416,developed the parameter identification method,Methodology,5,5,Methodology,5,Methodology,1,0.7146821409333854,-1.868970923381196,test
417,helped to refine the method,Sonstiges,10,5,Methodology,5,Methodology,1,0.7439335574778814,-1.9693228352809926,test
418,assisted sample classification,Resources,8,8,Resources,8,Resources,15,-0.5831802055454074,-0.44135088201192807,test
419,provided resources,Resources,8,8,Resources,8,Resources,7,-0.5269088736740497,-0.38106951828336016,test
420,conducted and monitored data collection,Data curation,1,2,Formal analysis,1,Data curation,16,2.5023769299704197,2.3739810452138332,test
421,Designed a logo for a local business,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.465325755102733,1.6300204705959307,test
422,performed implementation with tghe local optimization algorithm,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.664189755431465,-0.3181464947077873,test
423,wrote and provided critical feedback to the manuscript,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,6,2.652668605158807,0.039563305044481197,test
424,developed and verified the epidemiological model,Methodology,5,5,Methodology,5,Methodology,6,2.7540316872733643,-0.16672291901930852,test
425,processed samples,Data curation,1,8,Resources,8,Resources,7,-0.5304406084677145,-0.3678996776144282,test
426,performed the stability analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,1,0.7303642119816345,-1.839081479102858,test
427,provided intelectual and technical support,Support,12,8,Resources,8,Resources,10,1.492454980339823,1.3920195228946588,test
428,supervised experiments,Supervision,11,7,Project administration,11,Supervision,8,-0.4625138257007832,-0.39635790430398676,test
429,helped write the manuscripts,Writing - original draft,15,4,Investigation,4,Investigation,1,0.7324566750095987,-1.9515039026943082,test
430,contributed to writing the manuscript,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,1,0.839667704029831,-1.826736699111089,test
431,Learned to do magic tricks,Other - not related,6,6,Other - not related,6,Other - not related,7,-0.5388520346933671,-0.38981738493344625,test
432,carried out analysis,Formal analysis,2,1,Data curation,2,Formal analysis,7,-0.5288931302390788,-0.4792015034148673,test
433,helped with experimental design,Sonstiges,10,10,Sonstiges,10,Sonstiges,13,-0.4627231266724528,-0.5227690208894311,test
434,performed in vitro experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.45381028694966613,-0.3931742494690791,test
435,Trained for a 5K charity run,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.454792752167253,1.6295471809884705,test
436,provided endoscopic biopsies,Resources,8,8,Resources,8,Resources,7,-0.535887468973198,-0.3913416718040519,test
437,Knitted a cozy blanket for winter,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.3474301853471684,1.5235582736473392,test
438,devised experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.46330652138860906,-0.39632146599290863,test
439,established cohort,Sonstiges,10,10,Sonstiges,3,Funding acquisition,7,-0.5441750005879157,-0.42628740088979894,test
440,conceptualized task,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,10,Sonstiges,7,-0.5678803983494229,-0.42035412990206944,test
441,edited manuscript,Writing - review & editing,16,16,Writing - review & editing,15,Writing - original draft,7,-0.5033650753947605,-0.4307639953791689,test
442,revised molecular analysis,Formal analysis,2,16,Writing - review & editing,16,Writing - review & editing,7,-0.5324100188474664,-0.4068674421933468,test
443,provided a critical review and approved the final manuscript,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,6,1.2916354907178604,1.5399127150049015,test
444,assisted experimental design,Sonstiges,10,10,Sonstiges,10,Sonstiges,13,-0.49548818623089264,-0.4257330427245423,test
445,have read and agreed to the published version of the manuscript,Writing - review & editing,16,10,Sonstiges,15,Writing - original draft,6,2.833526631625461,-0.13985163570056855,test
446,Created a budget for a family vacation,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.383938255073407,1.569834117059669,test
447,was involved in entire project,Supervision,11,0,Conceptualization / Conceptualisation,2,Formal analysis,7,-0.5378137226340582,-0.4179898047989845,test
448,Started a vegetable or herb garden,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.2305120715027122,1.3927219941130917,test
